date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
02/01/2020 19:30,1.31327,1.31329,1.31342,1.31274,1.31343,1.31346,1.31357,1.31289,2669
02/01/2020 19:45,1.31329,1.31284,1.31377,1.31278,1.31346,1.31299,1.31388,1.31293,3395
02/01/2020 20:00,1.31284,1.31389,1.31406,1.31281,1.31299,1.31405,1.31419,1.31296,2303
02/01/2020 20:15,1.31389,1.3144,1.31445,1.3138,1.31405,1.31451,1.31461,1.31398,1878
02/01/2020 20:30,1.3144,1.31387,1.31442,1.31362,1.31451,1.31401,1.31454,1.31376,2434
02/01/2020 20:45,1.31387,1.31383,1.31451,1.3135,1.31401,1.31397,1.31465,1.31364,3337
02/01/2020 21:00,1.31383,1.314,1.31416,1.31349,1.31397,1.31412,1.31429,1.31364,1188
02/01/2020 21:15,1.314,1.31408,1.31415,1.31396,1.31412,1.3142,1.31431,1.3141,435
02/01/2020 21:30,1.31408,1.31392,1.31408,1.31385,1.3142,1.31403,1.31421,1.31397,848
02/01/2020 21:45,1.31392,1.3135,1.31394,1.31343,1.31403,1.31457,1.315,1.31362,1074
02/01/2020 22:00,1.3135,1.31363,1.31374,1.31304,1.31457,1.31454,1.31514,1.31389,102
02/01/2020 22:15,1.31363,1.31358,1.31363,1.31328,1.31454,1.31456,1.31513,1.31455,22
02/01/2020 22:30,1.31358,1.31344,1.31358,1.31342,1.31456,1.31484,1.31506,1.31457,9
02/01/2020 22:45,1.31344,1.31324,1.31462,1.31312,1.31484,1.31467,1.31484,1.31437,324
02/01/2020 23:00,1.31324,1.31401,1.31427,1.31302,1.31467,1.31422,1.31471,1.31357,758
02/01/2020 23:15,1.31401,1.31412,1.3143,1.31393,1.31422,1.31437,1.3145,1.31416,3964
02/01/2020 23:30,1.31412,1.31441,1.3145,1.31409,1.31437,1.31458,1.31469,1.31428,1833
02/01/2020 23:45,1.31441,1.31466,1.31477,1.31422,1.31458,1.31479,1.31494,1.31437,1535
03/01/2020 00:00,1.31466,1.31471,1.31487,1.31393,1.31479,1.31482,1.31502,1.3141,1844
03/01/2020 00:15,1.31471,1.31487,1.31496,1.31466,1.31482,1.315,1.31513,1.3148,1468
03/01/2020 00:30,1.31487,1.31502,1.31509,1.31484,1.315,1.31516,1.31523,1.31496,1185
03/01/2020 00:45,1.31502,1.31543,1.31566,1.31499,1.31516,1.31561,1.3158,1.31515,1183
03/01/2020 01:00,1.31543,1.31546,1.31575,1.3154,1.31561,1.31562,1.31589,1.31557,849
03/01/2020 01:15,1.31546,1.31509,1.31596,1.31489,1.31562,1.31524,1.31611,1.31506,1634
03/01/2020 01:30,1.31509,1.3145,1.31514,1.31444,1.31524,1.31464,1.31531,1.3146,1957
03/01/2020 01:45,1.3145,1.31379,1.31504,1.31339,1.31464,1.31393,1.3152,1.31356,3334
03/01/2020 02:00,1.31379,1.31365,1.31392,1.31359,1.31393,1.31381,1.3141,1.31376,1608
03/01/2020 02:15,1.31365,1.31395,1.31419,1.31359,1.31381,1.3141,1.31432,1.31373,2747
03/01/2020 02:30,1.31395,1.31395,1.3143,1.31386,1.3141,1.31407,1.31448,1.31401,2647
03/01/2020 02:45,1.31395,1.31274,1.31431,1.3122,1.31407,1.31289,1.31445,1.31238,4236
03/01/2020 03:00,1.31274,1.31322,1.31335,1.31265,1.31289,1.31336,1.31346,1.31281,2763
03/01/2020 03:15,1.31322,1.31289,1.31327,1.31264,1.31336,1.31308,1.3134,1.31279,3868
03/01/2020 03:30,1.31289,1.31319,1.31319,1.31284,1.31308,1.31333,1.31333,1.31303,1751
03/01/2020 03:45,1.31319,1.31355,1.31372,1.31304,1.31333,1.31371,1.3139,1.3132,2455
03/01/2020 04:00,1.31355,1.31351,1.31364,1.31324,1.31371,1.31369,1.31383,1.31337,1969
03/01/2020 04:15,1.31351,1.31362,1.31366,1.31342,1.31369,1.31379,1.31383,1.31359,778
03/01/2020 04:30,1.31362,1.31352,1.31369,1.31338,1.31379,1.31363,1.31385,1.31351,1254
03/01/2020 04:45,1.31352,1.31254,1.31352,1.3124,1.31363,1.31268,1.31367,1.31257,1999
03/01/2020 05:00,1.31254,1.31193,1.31287,1.31174,1.31268,1.31209,1.31301,1.31189,2117
03/01/2020 05:15,1.31193,1.31174,1.31206,1.31152,1.31209,1.31186,1.3122,1.31168,1309
03/01/2020 05:30,1.31174,1.31224,1.31258,1.31161,1.31186,1.31238,1.31271,1.31178,1811
03/01/2020 05:45,1.31224,1.31206,1.31249,1.31197,1.31238,1.3122,1.31264,1.31211,1235
03/01/2020 06:00,1.31206,1.31074,1.31209,1.31041,1.3122,1.31093,1.31223,1.31059,2903
03/01/2020 06:15,1.31074,1.31119,1.31165,1.31068,1.31093,1.31131,1.31183,1.31084,2084
03/01/2020 06:30,1.31119,1.31174,1.31198,1.31097,1.31131,1.31191,1.31213,1.31115,951
03/01/2020 06:45,1.31174,1.31227,1.31231,1.31166,1.31191,1.31245,1.31252,1.3118,1009
03/01/2020 07:00,1.31227,1.31134,1.31229,1.31132,1.31245,1.3115,1.31246,1.31145,3897
03/01/2020 07:15,1.31134,1.31063,1.31146,1.31009,1.3115,1.3108,1.31163,1.31027,4051
03/01/2020 07:30,1.31063,1.30968,1.31097,1.30955,1.3108,1.30983,1.3111,1.30969,4569
03/01/2020 07:45,1.30968,1.30909,1.30974,1.30821,1.30983,1.30924,1.30988,1.30837,7854
03/01/2020 08:00,1.30909,1.30963,1.30984,1.3086,1.30924,1.30981,1.30997,1.30877,6573
03/01/2020 08:15,1.30963,1.31169,1.31173,1.30947,1.30981,1.31184,1.31188,1.30962,5332
03/01/2020 08:30,1.31169,1.31053,1.3117,1.31039,1.31184,1.31071,1.31184,1.31052,5567
03/01/2020 08:45,1.31053,1.30972,1.31059,1.30948,1.31071,1.3099,1.31074,1.30964,4169
03/01/2020 09:00,1.30972,1.30878,1.31001,1.30872,1.3099,1.30895,1.31016,1.30887,6611
03/01/2020 09:15,1.30878,1.30838,1.3096,1.30828,1.30895,1.30859,1.30974,1.30838,6065
03/01/2020 09:30,1.30838,1.30798,1.30878,1.30767,1.30859,1.30814,1.30894,1.30783,5796
03/01/2020 09:45,1.30798,1.30674,1.30813,1.30662,1.30814,1.30687,1.30827,1.30674,6115
03/01/2020 10:00,1.30674,1.30764,1.30817,1.30673,1.30687,1.30775,1.3083,1.30687,5898
03/01/2020 10:15,1.30764,1.30869,1.3087,1.30759,1.30775,1.3088,1.30886,1.30773,3722
03/01/2020 10:30,1.30869,1.30729,1.30874,1.30699,1.3088,1.30742,1.30891,1.30712,4371
03/01/2020 10:45,1.30729,1.30777,1.30787,1.30709,1.30742,1.30794,1.30801,1.30721,3189
03/01/2020 11:00,1.30777,1.30689,1.30783,1.30667,1.30794,1.30705,1.30798,1.30679,3198
03/01/2020 11:15,1.30689,1.30743,1.3077,1.30668,1.30705,1.30755,1.30786,1.3068,3535
03/01/2020 11:30,1.30743,1.3058,1.30742,1.30528,1.30755,1.30595,1.30755,1.3054,4673
03/01/2020 11:45,1.3058,1.30583,1.30611,1.3055,1.30595,1.30595,1.30625,1.30564,3481
03/01/2020 12:00,1.30583,1.30564,1.30603,1.30534,1.30595,1.30578,1.30618,1.30547,3438
03/01/2020 12:15,1.30564,1.30637,1.30664,1.30561,1.30578,1.30654,1.3068,1.30576,3320
03/01/2020 12:30,1.30637,1.3076,1.30775,1.30631,1.30654,1.30772,1.30788,1.30646,3785
03/01/2020 12:45,1.3076,1.30797,1.30817,1.30718,1.30772,1.30811,1.30833,1.30734,3976
03/01/2020 13:00,1.30797,1.30964,1.30998,1.30793,1.30811,1.30981,1.31007,1.30805,4048
03/01/2020 13:15,1.30964,1.30917,1.31092,1.30915,1.30981,1.30931,1.31108,1.30926,3838
03/01/2020 13:30,1.30917,1.30884,1.30944,1.30851,1.30931,1.30899,1.30955,1.30866,2258
03/01/2020 13:45,1.30884,1.30718,1.30893,1.30714,1.30899,1.3073,1.30908,1.30728,3462
03/01/2020 14:00,1.30718,1.30806,1.3087,1.30679,1.3073,1.3082,1.30884,1.30695,4242
03/01/2020 14:15,1.30806,1.30714,1.30891,1.3068,1.3082,1.30727,1.30907,1.30697,3753
03/01/2020 14:30,1.30714,1.30744,1.30854,1.30688,1.30727,1.3076,1.30865,1.30701,4840
03/01/2020 14:45,1.30744,1.3069,1.30793,1.30674,1.3076,1.30723,1.30806,1.30691,4398
03/01/2020 15:00,1.3069,1.30807,1.30824,1.30685,1.30723,1.3082,1.30836,1.30702,6473
03/01/2020 15:15,1.30807,1.30898,1.30937,1.30771,1.3082,1.30911,1.30951,1.30785,5004
03/01/2020 15:30,1.30898,1.30861,1.3093,1.30821,1.30911,1.30877,1.30943,1.30837,4553
03/01/2020 15:45,1.30861,1.30711,1.30889,1.30698,1.30877,1.30723,1.30904,1.30711,5815
03/01/2020 16:00,1.30711,1.30806,1.30824,1.30688,1.30723,1.30823,1.30838,1.30702,4273
03/01/2020 16:15,1.30806,1.30947,1.30951,1.3078,1.30823,1.30959,1.30964,1.30796,3008
03/01/2020 16:30,1.30947,1.30969,1.30973,1.30911,1.30959,1.30984,1.30985,1.30925,3964
03/01/2020 16:45,1.30969,1.30892,1.30985,1.30891,1.30984,1.30906,1.30998,1.30904,3852
03/01/2020 17:00,1.30892,1.30869,1.30934,1.30837,1.30906,1.30886,1.30947,1.30849,3977
03/01/2020 17:15,1.30869,1.3087,1.30879,1.30798,1.30886,1.30884,1.30891,1.30812,3347
03/01/2020 17:30,1.3087,1.30851,1.30875,1.30798,1.30884,1.30865,1.30888,1.30813,3091
03/01/2020 17:45,1.30851,1.30877,1.30899,1.30827,1.30865,1.30892,1.30914,1.3084,3010
03/01/2020 18:00,1.30877,1.30855,1.30896,1.30852,1.30892,1.30868,1.30909,1.30867,2804
03/01/2020 18:15,1.30855,1.30768,1.30858,1.30767,1.30868,1.30782,1.3087,1.30779,3635
03/01/2020 18:30,1.30768,1.30763,1.30784,1.30722,1.30782,1.30779,1.30798,1.30736,5440
03/01/2020 18:45,1.30763,1.30822,1.30838,1.30754,1.30779,1.30886,1.30888,1.30766,3410
03/01/2020 19:00,1.30822,1.30826,1.30847,1.30737,1.30886,1.30842,1.30899,1.30751,6496
03/01/2020 19:15,1.30826,1.30784,1.30836,1.30781,1.30842,1.30798,1.30849,1.30795,3859
03/01/2020 19:30,1.30784,1.30762,1.30793,1.30756,1.30798,1.3078,1.30807,1.3077,3877
03/01/2020 19:45,1.30762,1.3078,1.30793,1.30744,1.3078,1.30794,1.30809,1.30757,3285
03/01/2020 20:00,1.3078,1.30743,1.30787,1.30742,1.30794,1.30757,1.30799,1.30756,1697
03/01/2020 20:15,1.30743,1.30721,1.30751,1.3072,1.30757,1.30734,1.30767,1.30733,1748
03/01/2020 20:30,1.30721,1.3075,1.30755,1.30721,1.30734,1.30765,1.30768,1.30735,1340
03/01/2020 20:45,1.3075,1.30728,1.30755,1.30711,1.30765,1.30743,1.30766,1.30727,1649
03/01/2020 21:00,1.30728,1.30729,1.30732,1.30701,1.30743,1.30749,1.30749,1.30717,1125
03/01/2020 21:15,1.30729,1.30742,1.30744,1.30726,1.30749,1.30759,1.30762,1.3074,571
03/01/2020 21:30,1.30742,1.30732,1.30746,1.30721,1.30759,1.3075,1.30764,1.30739,648
03/01/2020 21:45,1.30732,1.30764,1.30782,1.30729,1.3075,1.30818,1.30818,1.30748,1465
05/01/2020 20:00,1.30764,1.30797,1.30797,1.30797,1.30818,1.30888,1.30914,1.30888,5
05/01/2020 20:15,1.30797,1.30797,1.30797,1.30797,1.30888,1.30908,1.30908,1.30907,2
05/01/2020 20:30,1.30797,1.30797,1.30797,1.30797,1.30908,1.30907,1.30908,1.30853,8
05/01/2020 21:15,1.30797,1.30726,1.30797,1.30726,1.30907,1.30777,1.30913,1.30777,15
05/01/2020 21:30,1.30726,1.30692,1.30726,1.30692,1.30777,1.30739,1.3085,1.30739,15
05/01/2020 21:45,1.30692,1.30829,1.3083,1.30671,1.30739,1.30894,1.30904,1.3073,30
05/01/2020 22:00,1.30829,1.30654,1.30843,1.30651,1.30894,1.30717,1.30931,1.3071,154
05/01/2020 22:15,1.30654,1.30682,1.30699,1.30645,1.30717,1.30782,1.30825,1.30718,65
05/01/2020 22:30,1.30682,1.30685,1.30703,1.30641,1.30782,1.30758,1.3078,1.30703,169
05/01/2020 22:45,1.30685,1.30675,1.30782,1.30663,1.30758,1.30786,1.30866,1.30758,205
05/01/2020 23:00,1.30675,1.30745,1.30748,1.3063,1.30786,1.30767,1.30808,1.30653,1905
05/01/2020 23:15,1.30745,1.30781,1.3081,1.30739,1.30767,1.30797,1.30829,1.30756,2140
05/01/2020 23:30,1.30781,1.30816,1.30839,1.30775,1.30797,1.3083,1.30854,1.30792,1415
05/01/2020 23:45,1.30816,1.30767,1.30843,1.30759,1.3083,1.30782,1.30856,1.30773,2112
06/01/2020 00:00,1.30767,1.30804,1.30829,1.30764,1.30782,1.30815,1.30843,1.30776,1734
06/01/2020 00:15,1.30804,1.30854,1.30875,1.30802,1.30815,1.30868,1.30891,1.30815,1264
06/01/2020 00:30,1.30854,1.30865,1.30874,1.30839,1.30868,1.3088,1.30889,1.30855,872
06/01/2020 00:45,1.30865,1.30792,1.30864,1.3077,1.3088,1.30809,1.30881,1.3079,1363
06/01/2020 01:00,1.30792,1.30758,1.30798,1.30746,1.30809,1.30771,1.30813,1.30763,1250
06/01/2020 01:15,1.30758,1.30774,1.30784,1.30755,1.30771,1.30785,1.30801,1.3077,838
06/01/2020 01:30,1.30774,1.30805,1.3081,1.30768,1.30785,1.30821,1.30825,1.30781,1086
06/01/2020 01:45,1.30805,1.30789,1.30808,1.30776,1.30821,1.30802,1.30825,1.3079,932
06/01/2020 02:00,1.30789,1.30846,1.3086,1.30789,1.30802,1.3086,1.30876,1.30803,632
06/01/2020 02:15,1.30846,1.30869,1.3087,1.30816,1.3086,1.3088,1.30881,1.3083,468
06/01/2020 02:30,1.30869,1.3086,1.3087,1.30836,1.3088,1.3087,1.30885,1.30847,587
06/01/2020 02:45,1.3086,1.30867,1.30879,1.30847,1.3087,1.30883,1.30891,1.30861,382
06/01/2020 03:00,1.30867,1.30865,1.30886,1.30856,1.30883,1.30877,1.30902,1.3087,733
06/01/2020 03:15,1.30865,1.30871,1.309,1.30857,1.30877,1.30886,1.30912,1.3087,629
06/01/2020 03:30,1.30871,1.30814,1.30873,1.30805,1.30886,1.30826,1.30889,1.30817,986
06/01/2020 03:45,1.30814,1.30814,1.3086,1.30809,1.30826,1.30829,1.30877,1.30823,807
06/01/2020 04:00,1.30814,1.30824,1.30831,1.30808,1.30829,1.3084,1.30847,1.30824,357
06/01/2020 04:15,1.30824,1.30854,1.30854,1.30811,1.3084,1.30868,1.30869,1.30829,728
