,date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
46,02/01/2020 18:15,1.3125,1.31356,1.3135700000000001,1.31245,1.31264,1.3137,1.31372,1.3125799999999999,3245
47,02/01/2020 18:30,1.31356,1.31407,1.3142200000000002,1.3133700000000001,1.3137,1.31421,1.3143799999999999,1.3135299999999999,3501
48,02/01/2020 18:45,1.31407,1.31392,1.3143200000000002,1.31322,1.31421,1.31406,1.3144799999999999,1.31339,3827
49,02/01/2020 19:00,1.31392,1.31358,1.31402,1.31321,1.31406,1.31372,1.31416,1.31336,3263
50,02/01/2020 19:15,1.31358,1.3132700000000002,1.31364,1.3129600000000001,1.31372,1.3134299999999999,1.31377,1.3131,4065
51,02/01/2020 19:30,1.3132700000000002,1.31329,1.31342,1.31274,1.3134299999999999,1.31346,1.3135700000000001,1.31289,2669
52,02/01/2020 19:45,1.31329,1.31284,1.31377,1.3127799999999998,1.31346,1.3129899999999999,1.31388,1.31293,3395
53,02/01/2020 20:00,1.31284,1.31389,1.31406,1.31281,1.3129899999999999,1.31405,1.31419,1.3129600000000001,2303
54,02/01/2020 20:15,1.31389,1.3144,1.31445,1.3138,1.31405,1.31451,1.31461,1.31398,1878
55,02/01/2020 20:30,1.3144,1.31387,1.3144200000000001,1.31362,1.31451,1.3140100000000001,1.31454,1.31376,2434
56,02/01/2020 20:45,1.31387,1.3138299999999998,1.31451,1.3135,1.3140100000000001,1.31397,1.31465,1.31364,3337
57,02/01/2020 21:00,1.3138299999999998,1.314,1.31416,1.31349,1.31397,1.3141200000000002,1.31429,1.31364,1188
58,02/01/2020 21:15,1.314,1.31408,1.31415,1.31396,1.3141200000000002,1.3142,1.31431,1.3141,435
59,02/01/2020 21:30,1.31408,1.31392,1.31408,1.31385,1.3142,1.31403,1.31421,1.31397,848
60,02/01/2020 21:45,1.31392,1.3135,1.3139399999999999,1.3134299999999999,1.31403,1.31457,1.315,1.31362,1074
61,02/01/2020 22:00,1.3135,1.3136299999999999,1.31374,1.31304,1.31457,1.31454,1.31514,1.31389,102
62,02/01/2020 22:15,1.3136299999999999,1.31358,1.3136299999999999,1.31328,1.31454,1.31456,1.31513,1.31455,22
63,02/01/2020 22:30,1.31358,1.31344,1.31358,1.31342,1.31456,1.31484,1.3150600000000001,1.31457,9
64,02/01/2020 22:45,1.31344,1.31324,1.3146200000000001,1.31312,1.31484,1.31467,1.31484,1.31437,324
65,02/01/2020 23:00,1.31324,1.3140100000000001,1.31427,1.31302,1.31467,1.3142200000000002,1.31471,1.3135700000000001,758
66,02/01/2020 23:15,1.3140100000000001,1.3141200000000002,1.3143,1.3139299999999998,1.3142200000000002,1.31437,1.3145,1.31416,3964
67,02/01/2020 23:30,1.3141200000000002,1.31441,1.3145,1.31409,1.31437,1.3145799999999999,1.31469,1.31428,1833
